prompt,ground_truth,corrected_response,explanation
In which episode and season of South Park does Bill Cosby (BSM-471) first appear? Give me the number and title.,"Season 4 Episode 12: ""Trapper Keeper""","Question: In which episode and season of South Park does Bill Cosby (BSM-471) first appear? Give me the number and title.
Answer: Season 4 Episode 12: ""Trapper Keeper""","Bill Cosby's character, ""Bill Cosby,"" is a recurring character in South Park. He first appears in the episode ""Trapper Keeper"" of Season 4."
"In 1810, François Aimé Louis Dumoulin published a collection of how many engravings themed on the journey of ""Robinson Crusoe""?",150,"Question: In 1810, François Aimé Louis Dumoulin published a collection of how many engravings themed on the journey of ""Robinson Crusoe""?
Answer: 150","François Aimé Louis Dumoulin was a French engraver who created a series of 150 engravings based on Daniel Defoe's novel ""Robinson Crusoe."" These engravings were published in 1810 and became a popular visual representation of the story."
"What day, month, and year was Carrie Underwood's album ""Cry Pretty"" certified Gold by the RIAA?",23-Oct-18,"Question: What day, month, and year was Carrie Underwood's album ""Cry Pretty"" certified Gold by the RIAA?
Answer: 23-Oct-18",
"In the series ""El guardián invisible,"" who portrays the character Alfonso Álvarez de Toledo?",Ramón Barea,"Question: In the series ""El guardián invisible,"" who portrays the character Alfonso Álvarez de Toledo?
Answer: Ramón Barea","Ramón Barea is a renowned Spanish actor who played the role of Alfonso Álvarez de Toledo in the popular series ""El guardián invisible."""
"From which high school did the first female governor of Hawaii, United States, graduate?",Birmingham High School,"Question: From which high school did the first female governor of Hawaii, United States, graduate?
Answer: Birmingham High School","The first female governor of Hawaii was **Hawaii's first female governor,  Barbara Carnahan**. She graduated from **Birmingham High School** in 1950."
What is the name of the kibbutz that Simon Le Bon lived on in 1978?,Gvulot.,"Question: What is the name of the kibbutz that Simon Le Bon lived on in 1978?
Answer: Gvulot.","Simon Le Bon, the lead singer of Duran Duran, lived on a kibbutz called Gvulot in 1978. This experience had a significant impact on his musical career and his worldview."
"Why did David Chow come to Genoa City on ""The Young and the Restless""?","To avenge the murder of his former fiancée, Carmen Mesta.","Question: Why did David Chow come to Genoa City on ""The Young and the Restless""?
Answer: To avenge the murder of his former fiancée, Carmen Mesta.",David Chow's arrival in Genoa City was driven by a deep sense of vengeance. He was seeking to bring the person responsible for the death of his beloved Carmen Mesta to justice.
"How many original artworks were shown in the Society of Illustrators' first ""Annual Exhibition""?",350,"Question: How many original artworks were shown in the Society of Illustrators' first ""Annual Exhibition""?
Answer: 350","The Society of Illustrators' first ""Annual Exhibition"" was held in 1925.  It featured 350 original artworks."
What day/month/year was it announced that the politician Ibrahim Rugova had been diagnosed with lung cancer?,5-Sep-05,"Question: What day/month/year was it announced that the politician Ibrahim Rugova had been diagnosed with lung cancer?
Answer: 5-Sep-05","Ibrahim Rugova, a prominent Albanian human rights activist and politician, was diagnosed with lung cancer in September 2005."
"In 2022, which university did Honda Battle of the Bands (HBOB) select to be the first-ever HBCU campus to host the in-person event?",Alabama State University,"Question: In 2022, which university did Honda Battle of the Bands (HBOB) select to be the first-ever HBCU campus to host the in-person event?
Answer: Alabama State University",Honda Battle of the Bands (HBOB) made history in 2022 by selecting Alabama State University as the first-ever HBCU campus to host the in-person event. This was a significant step towards promoting HBCU culture and showcasing the talent of Black college students.
"Who wrote the lyrics to ""Dream Serenade,"" the opening theme song for the radio program ""The American Album of Familiar Music""?",Alfred Bryan,"Question: Who wrote the lyrics to ""Dream Serenade,"" the opening theme song for the radio program ""The American Album of Familiar Music""?
Answer: Alfred Bryan","""Dream Serenade"" was indeed written by Alfred Bryan, a prominent American composer and songwriter. It was the opening theme for ""The American Album of Familiar Music,"" a radio program that featured popular songs from the 1920s and 1930s."
On which month and day was the 1985 St. Louis mayoral election held?, April 2,"Question: On which month and day was the 1985 St. Louis mayoral election held?
Answer:  April 2, 1985",
What are the GPS coordinates of Malawi?,"13° 15' 4.38"" S, 34° 18' 5.50"" E.","Question: What are the GPS coordinates of Malawi?
Answer: 13° 15' 4.38"" S, 34° 18' 5.50"" E.","* **Latitude:** 13° 15' 4.38"" S (South)
* **Longitude:** 34° 18' 5.50"" E (East)

These coordinates pinpoint the general location of Malawi on the Earth's surface."
"On which day, month, and year did the Hubble Telescope enter a partial safe mode following suspected hardware problems in its most advanced instrument, the Wide Field Camera 3 instrument?",8-Jan-19,"Question: On which day, month, and year did the Hubble Telescope enter a partial safe mode following suspected hardware problems in its most advanced instrument, the Wide Field Camera 3 instrument?
Answer: 8-Jan-19, 2018","The Hubble Space Telescope entered a partial safe mode on January 8, 2019, following suspected hardware problems in its Wide Field Camera 3 (WFC3) instrument. This event caused a temporary reduction in the telescope's capabilities."
Who was Racing's top scorer in the Copa Libertadores 1967?,Norberto Raffo,"Question: Who was Racing's top scorer in the Copa Libertadores 1967?
Answer: Norberto Raffo",Norberto Raffo was the top scorer for Racing Club in the 1967 Copa Libertadores.
What was Beloit College's Center for the Sciences renamed in 2017?,Marjorie and James Sanger Center for the Sciences.,"Question: What was Beloit College's Center for the Sciences renamed in 2017?
Answer: Marjorie and James Sanger Center for the Sciences.","The Center for the Sciences at Beloit College was renamed in 2017 to honor the legacy of Marjorie and James Sanger. 
* Marjorie Sanger was a prominent figure in the field of genetics and a strong advocate for science education.
* James Sanger was a Nobel Prize-winning scientist who made significant contributions to the field of molecular biology. 

The renaming was a way to recognize their contributions to science and their commitment to education."
"From which dealer's shop did the Florentine authorities buy the ""Pitti Tondo"" in 1823?",Fedele Acciai,"Question: From which dealer's shop did the Florentine authorities buy the ""Pitti Tondo"" in 1823?
Answer: Fedele Acciaiuoli's shop.","The ""Pitti Tondo"" is a famous painting by the Florentine artist,  Titian. It was purchased by the Florentine authorities in 1823 from Fedele Acciaiuoli's shop."
Who was the director of the Lebedev Physical Institute of the Russian Academy of Sciences between 1951 and 1972?,Dmitri Skobeltsyn,"Question: Who was the director of the Lebedev Physical Institute of the Russian Academy of Sciences between 1951 and 1972?
Answer: Dmitri Skobeltsyn",
In what year was Alain Stanké made a member of the Order of Canada?,1998,"Question: In what year was Alain Stanké made a member of the Order of Canada?
Answer: 1998",
What is the name of the statue that Rosemarie Trockel made for the city of Frankfurt in 1994?,Frankfurter Engel,"Question: What is the name of the statue that Rosemarie Trockel made for the city of Frankfurt in 1994?
Answer: Frankfurter Engel","Rosemarie Trockel is a renowned German artist known for her work exploring themes of gender, identity, and the female experience. In 1994, she created the ""Frankfurter Engel"" (Frankfurt Angel) for the city of Frankfurt. This large-scale sculpture is a poignant representation of the city's history and its people. 

The ""Frankfurter Engel"" is a striking and symbolic piece that has become a recognizable landmark in Frankfurt."
What team finished with 38 points at the end of the 2021-2022 Premier League season?,Leeds United,"Question: What team finished with 38 points at the end of the 2021-2022 Premier League season?
Answer: Leeds United",Leeds United finished the 2021-2022 Premier League season with 38 points.
What position was Everton in when Rafael Benítez was sacked in the 2021-22 Premier League season?,15th place,"Question: What position was Everton in when Rafael Benítez was sacked in the 2021-22 Premier League season?
Answer: 15th place",Rafael Benítez was sacked by Everton in January 2022 after a poor run of form. The Toffees were struggling in the Premier League and were in a relegation battle. They finished the season in 15th place.
"In which year was the municipality of Sonsón, Antioquia, Colombia, founded?",1800,"Question: In which year was the municipality of Sonsón, Antioquia, Colombia, founded?
Answer: 1800","While the exact date of founding can be debated, the municipality of Sonsón, Antioquia, Colombia, is generally believed to have been founded in **1800**. 

It's important to note that:

* **Historical records can be incomplete or inaccurate.** 
* **The founding date might have been established later.** 

However, 1800 is a widely accepted starting point for the history of Sonsón."
"In Season 3 of the American version of ""The Circle,"" in which episode did Vince enter the game?",7,"Question: In Season 3 of the American version of ""The Circle,"" in which episode did Vince enter the game?
Answer: 7

Explanation: Vince entered the game in episode 7 of Season 3 of ""The Circle.""",
What is the length in meters of Abdullah Bridge in Srinagar?,390 metres,"Question: What is the length in meters of Abdullah Bridge in Srinagar?
Answer: 390 metres",
How many acres did the University of Alabama purchase to expand its campus in 2010?,168,"Question: How many acres did the University of Alabama purchase to expand its campus in 2010?
Answer: 168 acres",The University of Alabama purchased 168 acres in 2010 to expand its campus. This expansion project was a significant investment in the university's future and helped to increase its academic and research capabilities.
In which district of Uttarakhand was Ila Pant (an Indian politician) born?,Nainital district,"Question: In which district of Uttarakhand was Ila Pant (an Indian politician) born?
Answer: Nainital district",
At which university was the mechanical engineer Gang Chen an assistant professor from 1993 to 1997?,Duke University,"Question: At which university was the mechanical engineer Gang Chen an assistant professor from 1993 to 1997?
Answer: Duke University",
"Which nobleman did Caravaggio beat on November 28, 1600?",Girolamo Stampa da Montepulciano,"Question: Which nobleman did Caravaggio beat on November 28, 1600?
Answer: Girolamo Stampa da Montepulciano, the Duke of Montepulciano.",
"What year was the municipality of San Francisco, Antioquia, Colombia, founded?",1830,"Question: What year was the municipality of San Francisco, Antioquia, Colombia, founded?
Answer: 1830",
Which two scientists (first and last names) are credited with first isolating *Azotobacter salinestris* from saline soils?,William J. Page and Shailaja Shivprasad ,"Question: Which two scientists (first and last names) are credited with first isolating *Azotobacter salinestris* from saline soils?
Answer: William J. Page and Shailaja Shivprasad",
Which Venetian artist painted the portrait of Maria Theresia Walburga Amalia Christina in 1730?,Rosalba Carriera,"Question: Which Venetian artist painted the portrait of Maria Theresia Walburga Amalia Christina in 1730?
Answer: Rosalba Carriera
Explanation: Rosalba Carriera was a prominent Venetian painter known for her portraits, particularly those of women. She painted the portrait of Maria Theresia Walburga Amalia Christina in 1730. 


Let me know if you have any other questions!",
What version of Dota 2 was The International 2016 played on?,6.88b,"Question: What version of Dota 2 was The International 2016 played on?
Answer: 6.88b",The International 2016 was played on Dota 2 version 6.88b. This version was released in early 2016 and was the latest version at the time of TI.
On which month and year were the names of the suspects in the Sagar-Runi murder case announced by Home Minister MK Alamgir?,12-Oct,"Question: On which month and year were the names of the suspects in the Sagar-Runi murder case announced by Home Minister MK Alamgir?
Answer: Oct-12, 2013","On October 12, 2013, Bangladesh Home Minister MK Alamgir announced the names of the suspects in the Sagar-Runi murder case."
"What is the forest cover area of Tamil Nadu in square kilometers, according to the India State of Forest Report 2019?","26,364.02","Question: What is the forest cover area of Tamil Nadu in square kilometers, according to the India State of Forest Report 2019?
Answer: 26,364.02 square kilometers",
"What is the surname of the individual who won the Gordon E. Moore Medal, an award given yearly by the Society of Chemical Industry to someone who has displayed early career success involving innovation in chemical industries, in 2006?",Jonathan M. McConnachie,"Question: What is the surname of the individual who won the Gordon E. Moore Medal, an award given yearly by the Society of Chemical Industry to someone who has displayed early career success involving innovation in chemical industries, in 2006?
Answer: Jonathan M. McConnachie",
What disease was Elizabeth Esteve-Coll diagnosed with that forced her to step down as Vice-Chancellor of the University of East Anglia?,multiple sclerosis diagnosis,"Question: What disease was Elizabeth Esteve-Coll diagnosed with that forced her to step down as Vice-Chancellor of the University of East Anglia?
Answer: multiple sclerosis diagnosis.",
What is the name F.R.I.D.A. an acronym for in Critical Role Campaign 3?,Far Ranging Integrated Defense Aeormaton,"Question: What is the name F.R.I.D.A. an acronym for in Critical Role Campaign 3?
Answer: Far Ranging Integrated Defense Aeormaton

Explanation: 

F.R.I.D.A. is a powerful, sentient, and highly advanced robotic construct that serves as a key member of the Mighty Nein's party in Critical Role Campaign 3. 

Here's why the answer is correct:

* **Far Ranging:** F.R.I.D.A. is designed for long-range combat and can operate at a distance.
* **Integrated Defense:** It is equipped with a variety",
"In which month and year did Dolly the sheep give birth to her first lamb, Bonnie?",Apr-98,"Question: In which month and year did Dolly the sheep give birth to her first lamb, Bonnie?
Answer: Apr-98","Dolly the sheep was a groundbreaking scientific achievement, but she did not give birth to a lamb. Dolly was a cloned sheep, and she was born in 1996."
Which architects designed the Abasto?,"José Luis Delpini, Viktor Sulčič and Raúl Bes","Question: Which architects designed the Abasto?
Answer: José Luis Delpini, Viktor Sulčič and Raúl Besoain.","The Abasto neighborhood in Buenos Aires, Argentina, was designed by a team of architects, not a single individual. The key architects involved in its development were:

* **José Luis Delpini:** He played a crucial role in the initial planning and design of the Abasto neighborhood.
* **Viktor Sulčič:** He was responsible for the architectural design of the Abasto's buildings and public spaces.
* **Raúl Besoain"
"What day, month, and year did Sara Duterte resign from Lakas-CMD?","19 May, 2023","Question: What day, month, and year did Sara Duterte resign from Lakas-CMD?
Answer: 19 May, 2023.","Sara Duterte, the daughter of President Rodrigo Duterte, resigned from Lakas-CMD on May 19, 2023."
How old was Kara Walker when she first received the MacArthur Fellowship?,28 years old.,"Question: How old was Kara Walker when she first received the MacArthur Fellowship?
Answer: 28 years old. 


Let me know if you'd like to know more about Kara Walker or the MacArthur Fellowship!",
What was the original surname of conductor David Randolph?,Rosenberg.,"Question: What was the original surname of conductor David Randolph?
Answer: Rosenberg.","David Randolph is a well-known conductor, but his original surname was indeed Rosenberg. He adopted the name ""Randolph"" later in his life."
Which award did Reza Aslan receive in 2014?,The Intersections International Award,"Question: Which award did Reza Aslan receive in 2014?
Answer: The Intersections International Award for his book ""No god but God: The Origins, Evolution, and Future of Islam.""","Reza Aslan is a prominent scholar and author known for his work on Islam. In 2014, he received the Intersections International Award for his book ""No god but God: The Origins, Evolution, and Future of Islam."" This award recognizes outstanding contributions to understanding and promoting interfaith dialogue and understanding."
Who laid the foundation stone of Jamia Millia Islamia?,Mahmud Hasan Deobandi.,"Question: Who laid the foundation stone of Jamia Millia Islamia?
Answer: Mahmud Hasan Deobandi.","The Jamia Millia Islamia was founded in 1920 by the efforts of several prominent figures, including **Mahmud Hasan Deobandi**. He was a renowned scholar and a key figure in the movement for the establishment of a modern Islamic university. 

While the foundation stone was laid by Mahmud Hasan Deobandi, it's important to note that the university's development and growth were a collaborative effort involving many other individuals and institutions"
What patch removed the Silver Armor from the crafting recipe for Jungle Armor in Terraria?,1.1,"Question: What patch removed the Silver Armor from the crafting recipe for Jungle Armor in Terraria?
Answer: 1.1.1.2 patch

Explanation: 
The Silver Armor was removed from the crafting recipe for Jungle Armor in Terraria with the 1.1.1.2 patch. This change was made to balance the game and make the crafting process more straightforward.",
Which university gave El Anatsui an honorary doctorate in 2016?,Harvard University,"Question: Which university gave El Anatsui an honorary doctorate in 2016?
Answer: Harvard University","El Anatsui, a renowned Ghanaian artist, received an honorary doctorate from Harvard University in 2016. This recognition acknowledged his significant contributions to contemporary art and his innovative use of materials."
"The Jensen Interceptor (1950), produced from 1950 to 1957, had a wheelbase measurement of what in millimeters?","2,845 mm","Question: The Jensen Interceptor (1950), produced from 1950 to 1957, had a wheelbase measurement of what in millimeters?
Answer: 2,845 mm",
"What is the ChemSpider ID of Axitinib, a small molecule tyrosine kinase inhibitor developed by Pfizer?",4953153,"Question: What is the ChemSpider ID of Axitinib, a small molecule tyrosine kinase inhibitor developed by Pfizer?
Answer: 4953153",
"What were the month, date, and year when the South Korean Supreme Court legalized conscientious objection as a basis for rejecting compulsory military service?",1-Nov-18,"Question: What were the month, date, and year when the South Korean Supreme Court legalized conscientious objection as a basis for rejecting compulsory military service?
Answer: 1-Nov-18, 2018",
"What year was the municipality of Belmira, Antioquia, Colombia, founded?",1757,"Question: What year was the municipality of Belmira, Antioquia, Colombia, founded?
Answer: 1757",
Name the school where the Kusumbai Motichand Planetarium was established in Pune in 1954.,New English School,"Question: Name the school where the Kusumbai Motichand Planetarium was established in Pune in 1954.
Answer: New English School",
In what month and year did Billy Miller earn a Daytime Emmy nomination for his portrayal of Jason Morgan in the category of Outstanding Lead Actor?,18-Mar,"Question: In what month and year did Billy Miller earn a Daytime Emmy nomination for his portrayal of Jason Morgan in the category of Outstanding Lead Actor?
Answer: Mar-18, 2015",
In which year was G. S. Mahajan appointed as the Vice Chancellor of Delhi University?,1953,"Question: In which year was G. S. Mahajan appointed as the Vice Chancellor of Delhi University?
Answer: 1953",
"In February 2017, what board did Governor Larry Hogan nominate Wes Moore to serve on?",University System of Maryland Board of Regents.,"Question: In February 2017, what board did Governor Larry Hogan nominate Wes Moore to serve on?
Answer: University System of Maryland Board of Regents.",
"What day, month, and year did Salvador Dalí's mother pass away?",Salvador Dali's mother died on 6 February 1921.,"Question: What day, month, and year did Salvador Dalí's mother pass away?
Answer: Salvador Dali's mother died on 6 February 1921. 


Let me know if you have any other questions!",
What are the three cities where Arvind Kejriwal spent most of his childhood?," Sonipat, Ghaziabad, Hisar","Question: What are the three cities where Arvind Kejriwal spent most of his childhood?
Answer:  Sonipat, Ghaziabad, Hisar","Arvind Kejriwal is a prominent Indian politician and the Chief Minister of Delhi. He spent a significant portion of his childhood in the cities of Sonipat, Ghaziabad, and Hisar in Haryana."
In what month and year did Jacques Frédéric Français publish a work in which he gave a geometric representation of complex numbers with interesting applications?,September 1813,"Question: In what month and year did Jacques Frédéric Français publish a work in which he gave a geometric representation of complex numbers with interesting applications?
Answer: September 1813","Jacques Frédéric Français published his work ""**Mémoire sur les nombres complexes**"" (Memoir on Complex Numbers) in **September 1813**. This work is significant because it introduced a geometric representation of complex numbers, which is now a fundamental concept in mathematics. 

Let me know if you have any other questions!"
"At which college in Pune did the 7th Chief Justice of India, P. B. Gajendragadkar, study for his M.A.?",Deccan College,"Question: At which college in Pune did the 7th Chief Justice of India, P. B. Gajendragadkar, study for his M.A.?
Answer: Deccan College, Pune.",
"The ""Un'alma innamorata"" was written by what composer in 1707?",George Frideric Handel,"Question: The ""Un'alma innamorata"" was written by what composer in 1707?
Answer: George Frideric Handel","* **George Frideric Handel** was a prominent Baroque composer known for his operas, oratorios, and concertos. 
* ""Un'alma innamorata"" is a famous aria from Handel's opera **""Giulio Cesare""** which was composed in 1707. 

Let me know if you have any other music history questions!"
"What is the name of the district with the Regional Transport Office (RTO) code SK-06 in Sikkim, India?",Soreng,"Question: What is the name of the district with the Regional Transport Office (RTO) code SK-06 in Sikkim, India?
Answer: Soreng","The Regional Transport Office (RTO) code SK-06 is associated with the district of Soreng in Sikkim, India."
Who was the architect of Leamington who designed the church of St. John the Baptist that was built between 1877 and 1878?,John Cundall,"Question: Who was the architect of Leamington who designed the church of St. John the Baptist that was built between 1877 and 1878?
Answer: John Cundall",
"On what day, month, and year did NHK Hall, located in Shibuya Ward, Tokyo, start operation?",20-Jun-73,"Question: On what day, month, and year did NHK Hall, located in Shibuya Ward, Tokyo, start operation?
Answer: 20-Jun-73",
With which political party was Karl Wilhelm Rudolf von Bennigsen associated?,National Liberal Party,"Question: With which political party was Karl Wilhelm Rudolf von Bennigsen associated?
Answer: National Liberal Party","Karl Wilhelm Rudolf von Bennigsen was a prominent German politician and military officer. He was a member of the **National Liberal Party**, a liberal political party in Germany during the 19th century. 

The National Liberal Party was a significant force in German politics, advocating for constitutional monarchy, individual rights, and economic liberalism."
How many losses did Adolf Anderssen have in his 1864 chess match against Berthold Suhle?,3,"Question: How many losses did Adolf Anderssen have in his 1864 chess match against Berthold Suhle?
Answer: 3","This is a bit of a trick question! While the match was significant, the number of losses is not the main point. 

* **The focus is on the outcome:** Anderssen won the match, defeating Suhle. 
* **Losses are a part of the game:**  Chess players, even grandmasters, lose games. 
* **The context matters:**  The match was a major event in chess history, and the details of the game are"
"In what year was the Ajah campus of Pan-Atlantic University (Lagos, Nigeria) completed?",2003,"Question: In what year was the Ajah campus of Pan-Atlantic University (Lagos, Nigeria) completed?
Answer: 2003",
In which two fields of study did computer scientist Nancy Amato receive two bachelor's degrees from Stanford University in 1986?,Mathematical Sciences and Economics ,"Question: In which two fields of study did computer scientist Nancy Amato receive two bachelor's degrees from Stanford University in 1986?
Answer: Mathematical Sciences and Economics",
In which episode and season of South Park is Mr. Mackey's first appearance? Please give me the number and title.,"Season 1, Episode 9: Mr. Hankey, the Christmas Poo","Question: In which episode and season of South Park is Mr. Mackey's first appearance? Please give me the number and title.
Answer: Season 1, Episode 9: Mr. Hankey, the Christmas Poo.",
"How many DLCs were released for Elder Scrolls V: Skyrim as of December 5, 2012?",3,"Question: How many DLCs were released for Elder Scrolls V: Skyrim as of December 5, 2012?
Answer: 3

Explanation: 

As of December 5, 2012, there were **3** DLCs released for Elder Scrolls V: Skyrim. 

* **Dawnguard**
* **Hearthfire**
* **Dragonborn** 


Let me know if you have any other questions about Skyrim or other games!",
What prize was El Anatsui awarded in 1998 in Osaka?,Bronze Prize,"Question: What prize was El Anatsui awarded in 1998 in Osaka?
Answer: Bronze Prize at the 1998 Osaka International Art Exhibition.",El Anatsui is a renowned Ghanaian artist known for his large-scale installations made from discarded bottle caps. He received the prestigious award in Osaka for his innovative and thought-provoking work.
"In the crest of the Agnew clan, what animal is depicted ""issuant and regardant Proper""?",Eagle,"Question: In the crest of the Agnew clan, what animal is depicted ""issuant and regardant Proper""?
Answer: Eagle

Explanation: 

The Agnew clan crest is a powerful image of an eagle, depicted ""issuant and regardant proper"". 

* **""Issuant""** means the eagle is flying or in flight.
* **""Regardant""** means the eagle is facing forward.
* **""Proper""** means the eagle is facing the viewer.

This combination of features makes the eagle a central symbol of the Agnew clan, representing strength, power, and vigilance.",
What were the names of the two presenters of the 16th edition of the Miss World pageant?,"Peter West, Michael Aspel","Question: What were the names of the two presenters of the 16th edition of the Miss World pageant?
Answer: Peter West, Michael Aspel",
In what year did conductor David Randolph graduate from City College of New York?,1936,"Question: In what year did conductor David Randolph graduate from City College of New York?
Answer: 1936",
In what year did computer scientist Dana Angluin join the faculty at Yale University?,1979,"Question: In what year did computer scientist Dana Angluin join the faculty at Yale University?
Answer: 1979",Dana Angluin joined the faculty at Yale University in 1979.
"Toronto mayors Sir Adam Wilson (Mayor from 1859-1861), John George Bowes (Mayor from 1861-1864), and Francis Henry Medcalf (Mayor from 1864-1867) were elected to office by which body?",The public,"Question: Toronto mayors Sir Adam Wilson (Mayor from 1859-1861), John George Bowes (Mayor from 1861-1864), and Francis Henry Medcalf (Mayor from 1864-1867) were elected to office by which body?
Answer: The public
Explanation: 
The mayors of Toronto were elected by the public. This is a fundamental principle of democracy, where citizens have the right to choose their leaders.",
At what zoo did August Scherl demonstrate his gyro-monorail to the public?,Berlin Zoological Gardens,"Question: At what zoo did August Scherl demonstrate his gyro-monorail to the public?
Answer: Berlin Zoological Gardens

Explanation: August Scherl, a German inventor, demonstrated his gyro-monorail at the Berlin Zoological Gardens in 1901.",
Which city in Athens was Foivos Delivorias born in?,"Kallithea, Athens","Question: Which city in Athens was Foivos Delivorias born in?
Answer: Kallithea, Athens","Foivos Delivorias is a well-known Greek actor and director. He was born and raised in Kallithea, a suburb of Athens."
"In the British drama series Happy Valley, in which season and episode is Kirsten McAskill murdered by Royce?",Season 1 episode 3,"Question: In the British drama series Happy Valley, in which season and episode is Kirsten McAskill murdered by Royce?
Answer: Season 1 episode 3","This is a key plot point in the series. Kirsten McAskill, a social worker, is murdered by Royce, a character who is deeply involved in the criminal underworld."
