prompt,response,ground_truth,grade_string
Who laid the foundation stone of Jamia Millia Islamia?,"Who laid the foundation stone of Jamia Millia Islamia?

**Answer:**  The foundation stone of Jamia Millia Islamia was laid by ** Maulana Abul Kalam Azad** on **19 August 1920**. 
",Mahmud Hasan Deobandi.,INCORRECT
What patch removed the Silver Armor from the crafting recipe for Jungle Armor in Terraria?,"What patch removed the Silver Armor from the crafting recipe for Jungle Armor in Terraria?

The patch that removed the Silver Armor from the crafting recipe for Jungle Armor in Terraria was **1.4.0.1**. 
",1.1,INCORRECT
Which university gave El Anatsui an honorary doctorate in 2016?,"Which university gave El Anatsui an honorary doctorate in 2016?

**A.** University of Oxford
**B.** University of Cambridge
**C.** University of Edinburgh
**D.** University of London

**Answer:** **D.** University of London

El Anatsui is a Ghanaian artist known for his large-scale installations made from discarded bottle caps. He received an honorary doctorate from the University of London in 2016. 
",Harvard University,INCORRECT
"The Jensen Interceptor (1950), produced from 1950 to 1957, had a wheelbase measurement of what in millimeters?","The Jensen Interceptor (1950), produced from 1950 to 1957, had a wheelbase measurement of what in millimeters?

The answer is **1,980 mm**. 

Here's why:

* **Wheelbase** is the distance between the front and rear axles of a vehicle. 
* The Jensen Interceptor was a luxury car known for its powerful engine and elegant design. 
* The provided information about the wheelbase measurement is a common fact about the car. 


Let me know if you have any other car-related questions! 
","2,845 mm",INCORRECT
"What is the ChemSpider ID of Axitinib, a small molecule tyrosine kinase inhibitor developed by Pfizer?","What is the ChemSpider ID of Axitinib, a small molecule tyrosine kinase inhibitor developed by Pfizer?

The ChemSpider ID for Axitinib is **1000000000**. 
",4953153,INCORRECT
"What were the month, date, and year when the South Korean Supreme Court legalized conscientious objection as a basis for rejecting compulsory military service?","What were the month, date, and year when the South Korean Supreme Court legalized conscientious objection as a basis for rejecting compulsory military service?

The South Korean Supreme Court legalized conscientious objection as a basis for rejecting compulsory military service in **June 2023**. 
",1-Nov-18,INCORRECT
"What year was the municipality of Belmira, Antioquia, Colombia, founded?","What year was the municipality of Belmira, Antioquia, Colombia, founded?

The municipality of Belmira, Antioquia, Colombia, was founded in **1850**. 
",1757,INCORRECT
Name the school where the Kusumbai Motichand Planetarium was established in Pune in 1954.,"Name the school where the Kusumbai Motichand Planetarium was established in Pune in 1954.

**Answer:**

The Kusumbai Motichand Planetarium was established in **Savitribai Phule Pune University** in Pune in 1954. 
",New English School,INCORRECT
In what month and year did Billy Miller earn a Daytime Emmy nomination for his portrayal of Jason Morgan in the category of Outstanding Lead Actor?,"In what month and year did Billy Miller earn a Daytime Emmy nomination for his portrayal of Jason Morgan in the category of Outstanding Lead Actor?

**Answer:**

Billy Miller was nominated for a Daytime Emmy in **2015** for his portrayal of Jason Morgan. 
",18-Mar,INCORRECT
In which year was G. S. Mahajan appointed as the Vice Chancellor of Delhi University?,"In which year was G. S. Mahajan appointed as the Vice Chancellor of Delhi University?

G. S. Mahajan was appointed as the Vice Chancellor of Delhi University in **1998**. 
",1953,INCORRECT
"In February 2017, what board did Governor Larry Hogan nominate Wes Moore to serve on?","In February 2017, what board did Governor Larry Hogan nominate Wes Moore to serve on?

A. Maryland State Board of Education
B. Maryland State Board of Public Works
C. Maryland Commission on Criminal Justice
D. Maryland Commission on Health

**Answer:** A. Maryland State Board of Education

**Explanation:**

Wes Moore was nominated by Governor Larry Hogan in February 2017 to serve on the Maryland State Board of Education. 
",University System of Maryland Board of Regents.,INCORRECT
"What day, month, and year did Salvador Dalí's mother pass away?","What day, month, and year did Salvador Dalí's mother pass away?

This question is a bit tricky! 

* **Salvador Dalí's mother,  Maria Dalí, passed away in 1922.** 

Let me know if you'd like to know more about Salvador Dalí or his life! 
",Salvador Dali's mother died on 6 February 1921.,INCORRECT
What are the three cities where Arvind Kejriwal spent most of his childhood?,"What are the three cities where Arvind Kejriwal spent most of his childhood?

The answer is: **Delhi, Chandigarh, and Patna**. 

Here's why:

* **Delhi:** Kejriwal was born and raised in Delhi.
* **Chandigarh:** He spent a significant part of his childhood in Chandigarh, where his father worked.
* **Patna:** He also spent some time in Patna, the capital of Bihar, during his childhood. 


Let me know if you have any other trivia questions! 
"," Sonipat, Ghaziabad, Hisar",INCORRECT
In what month and year did Jacques Frédéric Français publish a work in which he gave a geometric representation of complex numbers with interesting applications?,"In what month and year did Jacques Frédéric Français publish a work in which he gave a geometric representation of complex numbers with interesting applications?

**Answer:**

The answer is **July 1897**. 

**Explanation:**

Jacques Frédéric Français published his work, ""**Sur les nombres complexes et leurs applications**"" (On Complex Numbers and Their Applications), in **July 1897**. This work is significant because it introduced a geometric representation of complex numbers, which is now a fundamental concept in mathematics and has numerous applications in various fields. 
",September 1813,INCORRECT
"At which college in Pune did the 7th Chief Justice of India, P. B. Gajendragadkar, study for his M.A.?","At which college in Pune did the 7th Chief Justice of India, P. B. Gajendragadkar, study for his M.A.?

**Answer:**

The 7th Chief Justice of India, P. B. Gajendragadkar, studied for his M.A. at ** Fergusson College, Pune**. 
",Deccan College,INCORRECT
"The ""Un'alma innamorata"" was written by what composer in 1707?","The ""Un'alma innamorata"" was written by what composer in 1707?

**Answer:**

Antonio Vivaldi 

**Explanation:**

""Un'alma innamorata"" is a famous aria from Vivaldi's opera ""La fedeltà premiata"" (The Faithfulness Rewarded). It was composed in 1707. 
",George Frideric Handel,INCORRECT
"What is the name of the district with the Regional Transport Office (RTO) code SK-06 in Sikkim, India?","What is the name of the district with the Regional Transport Office (RTO) code SK-06 in Sikkim, India?

The answer is **Sikkim**. 

Here's why:

* **RTO codes** are specific to each state and district in India. 
* **SK-06** is a unique RTO code.
* Sikkim is a state in India, and it has its own RTO. 


Let me know if you have any other questions! 
",Soreng,INCORRECT
Who was the architect of Leamington who designed the church of St. John the Baptist that was built between 1877 and 1878?,"Who was the architect of Leamington who designed the church of St. John the Baptist that was built between 1877 and 1878?

The answer is **William Henry Butterfield**. 

Here's why:

* **William Henry Butterfield** was a prominent Victorian architect known for his Gothic Revival style. 
* He designed numerous churches and other buildings across the UK, including the Church of St. John the Baptist in Leamington.
* The church was built between 1877 and 1878, a period when Butterfield was at the height of his career.

You can find more information about",John Cundall,INCORRECT
"On what day, month, and year did NHK Hall, located in Shibuya Ward, Tokyo, start operation?","On what day, month, and year did NHK Hall, located in Shibuya Ward, Tokyo, start operation?

**Answer:**

NHK Hall started operation on **April 1, 1972**. 


Let me know if you have any other questions! 
",20-Jun-73,INCORRECT
With which political party was Karl Wilhelm Rudolf von Bennigsen associated?,"With which political party was Karl Wilhelm Rudolf von Bennigsen associated?

**Answer:**

Karl Wilhelm Rudolf von Bennigsen was associated with the **Conservative** party. 


**Explanation:**

Karl Wilhelm Rudolf von Bennigsen was a prominent German politician and statesman who served as the Minister of Foreign Affairs in the German Empire. He was a member of the Conservative party, which was a major political force in Germany during the 19th century. 
",National Liberal Party,INCORRECT
How many losses did Adolf Anderssen have in his 1864 chess match against Berthold Suhle?,"How many losses did Adolf Anderssen have in his 1864 chess match against Berthold Suhle?

The answer is **1**. 

Here's why:

* **The Match:**  The 1864 match between Adolf Anderssen and Berthold Suhle was a significant event in chess history. 
* **The Outcome:** Anderssen won the match, securing a decisive victory. 
* **The Significance:** This match is notable for its high level of play and the fact that it was one of the few times a world champion played a match against a player",3,INCORRECT
"In what year was the Ajah campus of Pan-Atlantic University (Lagos, Nigeria) completed?","In what year was the Ajah campus of Pan-Atlantic University (Lagos, Nigeria) completed?

**Answer:** 2010

**Explanation:**

The Ajah campus of Pan-Atlantic University was completed in 2010. 
",2003,INCORRECT
In which two fields of study did computer scientist Nancy Amato receive two bachelor's degrees from Stanford University in 1986?,"In which two fields of study did computer scientist Nancy Amato receive two bachelor's degrees from Stanford University in 1986?

A. Computer Science and Mathematics
B. Computer Science and Physics
C. Computer Science and Economics
D. Computer Science and Philosophy

**Answer:** B. Computer Science and Physics

**Explanation:**

Nancy Amato is a renowned computer scientist known for her work in artificial intelligence and machine learning.  She received her bachelor's degrees in both Computer Science and Physics from Stanford University in 1986. 
",Mathematical Sciences and Economics ,INCORRECT
In which episode and season of South Park is Mr. Mackey's first appearance? Please give me the number and title.,"In which episode and season of South Park is Mr. Mackey's first appearance? Please give me the number and title.

**Answer:**

* **Episode:** ""Make Love, Not Warcraft""
* **Season:** Season 1, Episode 1 


Let me know if you have any other South Park trivia questions! 
","Season 1, Episode 9: Mr. Hankey, the Christmas Poo",INCORRECT
